"filename", "language", "Python", "JSON", "pip requirements", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Animation.py", "Python", 28, 0, 0, 0, 12, 40
"f:\Game 2D\GameJam2023\Character.py", "Python", 194, 0, 0, 10, 73, 277
"f:\Game 2D\GameJam2023\Graphics.py", "Python", 29, 0, 0, 0, 11, 40
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 23, 0, 0, 3, 13, 39
"f:\Game 2D\GameJam2023\Instances.py", "Python", 2, 0, 0, 0, 0, 2
"f:\Game 2D\GameJam2023\Items.py", "Python", 28, 0, 0, 0, 10, 38
"f:\Game 2D\GameJam2023\LevelEditor\button.py", "Python", 20, 0, 0, 4, 7, 31
"f:\Game 2D\GameJam2023\LevelEditor\level_editor_tut.py", "Python", 154, 0, 0, 38, 47, 239
"f:\Game 2D\GameJam2023\Settings.py", "Python", 17, 0, 0, 4, 11, 32
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 73, 0, 0, 1, 28, 102
"f:\Game 2D\GameJam2023\World.py", "Python", 89, 0, 0, 0, 16, 105
"f:\Game 2D\GameJam2023\local_variable.json", "JSON", 0, 4, 0, 0, 0, 4
"f:\Game 2D\GameJam2023\main.py", "Python", 120, 0, 0, 21, 65, 206
"f:\Game 2D\GameJam2023\requirements.txt", "pip requirements", 0, 0, 5, 0, 1, 6
"Total", "-", 777, 4, 5, 81, 294, 1161
